,Date,Value
3450,2016-08-16,57.45
3451,2016-08-17,56.6
3452,2016-08-18,56.96
3453,2016-08-19,59.21
3454,2016-08-20,56.0
3455,2016-08-21,56.07
3456,2016-08-22,60.56
3457,2016-08-23,58.63
3458,2016-08-24,57.17
3459,2016-08-25,58.8
3460,2016-08-26,57.13
3461,2016-08-27,54.28
3462,2016-08-28,53.99
3463,2016-08-29,55.85
3464,2016-08-30,57.47
3465,2016-08-31,60.18
3466,2016-09-01,61.85
3467,2016-09-02,61.65
3468,2016-09-03,59.21
3469,2016-09-04,58.21
3470,2016-09-05,63.29
3471,2016-09-06,59.68
3472,2016-09-07,58.0
3473,2016-09-08,59.79
3474,2016-09-09,60.7
3475,2016-09-10,59.43
3476,2016-09-11,57.45
3477,2016-09-12,64.09
3478,2016-09-13,60.11
3479,2016-09-14,60.14
3480,2016-09-15,58.59
3481,2016-09-16,63.1
3482,2016-09-17,63.82
3483,2016-09-18,63.17
3484,2016-09-19,69.91
3485,2016-09-20,71.64
3486,2016-09-21,70.59
3487,2016-09-22,70.28
3488,2016-09-23,72.6
3489,2016-09-24,63.08
3490,2016-09-25,66.28
3491,2016-09-26,85.28
3492,2016-09-27,81.01
3493,2016-09-28,75.69
3494,2016-09-29,77.84
3495,2016-09-30,84.43
3496,2016-10-01,93.09
3497,2016-10-02,93.19
3498,2016-10-03,101.0
3499,2016-10-04,94.39
3500,2016-10-05,94.09
3501,2016-10-06,104.85
3502,2016-10-07,107.58
3503,2016-10-08,97.82
3504,2016-10-09,104.9
3505,2016-10-10,127.4
3506,2016-10-11,131.26
3507,2016-10-12,124.68
3508,2016-10-13,130.9
3509,2016-10-14,128.19
3510,2016-10-15,114.67
3511,2016-10-16,113.5
3512,2016-10-17,118.08
3513,2016-10-18,134.88
3514,2016-10-19,136.62
3515,2016-10-20,136.27
3516,2016-10-21,140.52
3517,2016-10-22,138.42
3518,2016-10-23,140.9
3519,2016-10-24,151.82
3520,2016-10-25,143.82
3521,2016-10-26,131.43
3522,2016-10-27,131.71
3523,2016-10-28,120.0
3524,2016-10-29,112.57
3525,2016-10-30,117.71
3526,2016-10-31,122.41
3527,2016-11-01,149.91
3528,2016-11-02,172.99
3529,2016-11-03,182.82
3530,2016-11-04,173.46
3531,2016-11-05,183.38
3532,2016-11-06,198.12
3533,2016-11-07,210.99
3534,2016-11-08,224.21
3535,2016-11-09,215.83
3536,2016-11-10,205.62
3537,2016-11-11,200.06
3538,2016-11-12,175.39
3539,2016-11-13,172.23
3540,2016-11-14,165.07
3541,2016-11-15,145.22
3542,2016-11-16,157.03
3543,2016-11-17,191.61
3544,2016-11-18,216.26
3545,2016-11-19,210.31
3546,2016-11-20,207.66
3547,2016-11-21,214.24
3548,2016-11-22,202.42
3549,2016-11-23,205.72
3550,2016-11-24,208.64
3551,2016-11-25,210.27
3552,2016-11-26,207.71
3553,2016-11-27,198.01
3554,2016-11-28,216.5
3555,2016-11-29,248.72
3556,2016-11-30,250.51
3557,2016-12-01,231.69
3558,2016-12-02,216.67
3559,2016-12-03,208.08
3560,2016-12-04,223.15
3561,2016-12-05,248.34
3562,2016-12-06,224.95
3563,2016-12-07,176.02
3564,2016-12-08,164.01
3565,2016-12-09,154.99
3566,2016-12-10,152.98
3567,2016-12-11,177.04
3568,2016-12-12,199.61
3569,2016-12-13,180.41
3570,2016-12-14,172.26
3571,2016-12-15,182.81
3572,2016-12-16,180.7
3573,2016-12-17,185.38
3574,2016-12-18,188.15
3575,2016-12-19,204.5
3576,2016-12-20,212.26
3577,2016-12-21,204.73
3578,2016-12-22,210.14
3579,2016-12-23,198.65
3580,2016-12-24,182.48
3581,2016-12-25,139.7
3582,2016-12-26,180.48
3583,2016-12-27,218.07
3584,2016-12-28,237.17
3585,2016-12-29,235.71
3586,2016-12-30,220.76
3587,2016-12-31,188.67
3588,2017-01-01,195.68
3589,2017-01-02,234.82
3590,2017-01-03,245.55
3591,2017-01-04,235.06
3592,2017-01-05,259.97
3593,2017-01-06,246.25
3594,2017-01-07,192.31
3595,2017-01-08,179.28
3596,2017-01-09,201.51
3597,2017-01-10,208.77
3598,2017-01-11,213.29
3599,2017-01-12,245.12
3600,2017-01-13,266.97
3601,2017-01-14,244.47
3602,2017-01-15,215.94
3603,2017-01-16,214.38
3604,2017-01-17,224.82
3605,2017-01-18,232.52
3606,2017-01-19,232.27
3607,2017-01-20,238.4
3608,2017-01-21,247.89
3609,2017-01-22,250.2
3610,2017-01-23,256.53
3611,2017-01-24,242.6
3612,2017-01-25,245.42
3613,2017-01-26,281.99
3614,2017-01-27,264.97
3615,2017-01-28,220.1
3616,2017-01-29,220.75
3617,2017-01-30,219.33
3618,2017-01-31,216.94
3619,2017-02-01,191.66
3620,2017-02-02,185.28
3621,2017-02-03,195.26
3622,2017-02-04,201.07
3623,2017-02-05,216.73
3624,2017-02-06,240.8
3625,2017-02-07,217.69
3626,2017-02-08,238.49
3627,2017-02-09,263.29
3628,2017-02-10,268.64
3629,2017-02-11,261.14
3630,2017-02-12,253.45
